yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp
199208,414.03,12.37,17.71,0.399405037,0.0313,0.0795,0.0865,0.0725,0.043049956,0.0026,0.002846975,0.0067,0.009,0.000369547,-0.001431469
199209,417.8,12.395,18.04,0.397656972,0.0291,0.0792,0.0862,0.071,0.041137782,0.0026,0.002838893,0.0185,0.0099,0.000872241,-0.001076155
199210,418.68,12.3917,18.39,0.403251178,0.0286,0.0799,0.0884,0.0741,0.041096099,0.0023,0.00353857,-0.0198,-0.0156,0.000944145,-0.000902112
199211,431.35,12.3883,18.74,0.393626459,0.0313,0.081,0.0896,0.0748,0.037986652,0.0023,0.001410437,0.001,0.0069,0.000508095,-0.000836058
199212,435.71,12.385,19.09,0.394109614,0.0322,0.0798,0.0881,0.0726,0.038828688,0.0028,-0.000704225,0.0246,0.0228,0.000471552,-0.001111524
199301,438.78,12.4163,19.34,0.393048105,0.03,0.0791,0.0867,0.0725,0.041753842,0.0023,0.004933051,0.028,0.025,0.000348851,-0.001552239
199302,443.38,12.4477,19.59,0.385960197,0.0293,0.0771,0.0839,0.0698,0.04072817,0.0022,0.003506311,0.0354,0.0256,0.001146897,-0.001479341
199303,451.67,12.479,19.84,0.333613526,0.0295,0.0758,0.0815,0.0702,0.037106415,0.0025,0.00349406,0.0021,0.0025,0.001004725,-0.001669026
199304,440.19,12.4937,19.67,0.334349806,0.0287,0.0746,0.0814,0.0701,0.039812686,0.0024,0.002785515,0.0072,0.0052,0.001004785,-0.001446284
199305,450.19,12.5083,19.5,0.324882422,0.0296,0.0743,0.0821,0.0701,0.040254629,0.0022,0.001388889,0.0047,0.002,0.000817308,-0.001650007
199306,450.53,12.523,19.33,0.325931248,0.0307,0.0733,0.0807,0.0668,0.041154021,0.0025,0.001386963,0.0449,0.0293,0.000573851,-0.00174797
199307,448.13,12.5217,19.69,0.323777031,0.0304,0.0717,0.0793,0.0656,0.041007787,0.0024,0,0.0191,0.01,0.000608963,-0.001390471
199308,463.56,12.5203,20.05,0.313864983,0.0302,0.0685,0.076,0.0623,0.040192937,0.0025,0.002770083,0.0434,0.0287,0.000281569,-0.001252164
199309,458.93,12.519,20.41,0.322351822,0.0295,0.0666,0.0734,0.0627,0.041840711,0.0026,0.002071823,0.0005,0.0043,0.000470675,-0.001153731
199310,467.83,12.5383,20.9033,0.311362833,0.0302,0.0667,0.0731,0.0623,0.040367136,0.0022,0.004135079,0.0096,0.0051,0.000314227,-0.00105483
199311,461.79,12.5577,21.3967,0.311079411,0.031,0.0693,0.0766,0.0651,0.04383756,0.0025,0.000686342,-0.0259,-0.0188,0.000576352,-0.001051695
199312,466.45,12.577,21.89,0.305267223,0.0306,0.0693,0.0769,0.0654,0.04572687,0.0023,0,0.002,0.0067,0.000269682,-0.001012497
199401,481.61,12.6203,22.1633,0.288058567,0.0298,0.0692,0.0765,0.0637,0.043671135,0.0025,0.002743484,0.0257,0.0202,0.000423488,-0.000976077
199402,467.14,12.6637,22.4367,0.299058821,0.0325,0.0708,0.0776,0.0682,0.045041132,0.0021,0.003419973,-0.045,-0.0286,0.001026077,-0.001135504
199403,445.77,12.707,22.71,0.307483805,0.035,0.0748,0.0813,0.0725,0.041905088,0.0027,0.003408316,-0.0395,-0.0383,0.000892103,-0.001099839
199404,450.91,12.7497,23.54,0.303664786,0.0368,0.0788,0.0852,0.0745,0.039845659,0.0027,0.001358696,-0.015,-0.0097,0.001373668,-0.000951628
199405,456.51,12.7923,24.37,0.297469476,0.0414,0.0799,0.0862,0.0759,0.039641067,0.0031,0.000678426,-0.0082,-0.0062,0.000750503,-0.00100851
199406,444.27,12.835,25.2,0.308417077,0.0414,0.0797,0.0865,0.0774,0.033995564,0.0031,0.003389831,-0.01,-0.0081,0.000797133,-0.000965722
199407,458.25,12.8643,25.91,0.296985381,0.0433,0.0811,0.088,0.0746,0.031211217,0.0028,0.002702703,0.0363,0.0309,0.000327283,-0.000643094
199408,475.5,12.8937,26.62,0.285683819,0.0448,0.0807,0.0874,0.0761,0.028706518,0.0037,0.004043127,-0.0086,-0.0031,0.000560388,-0.000974958
199409,462.71,12.923,27.33,0.290904659,0.0462,0.0834,0.0898,0.08,0.029003295,0.0037,0.002684564,-0.0331,-0.0265,0.000801893,-0.000839298
199410,472.35,13.0053,28.42,0.286071274,0.0495,0.0857,0.092,0.0809,0.026000495,0.0038,0.000669344,-0.0025,-0.005,0.001158428,-0.000771729
199411,453.69,13.0877,29.51,0.298992614,0.0529,0.0868,0.0932,0.0808,0.022917147,0.0037,0.001337793,0.0066,0.0018,0.000836399,-0.000558816
199412,459.27,13.17,30.6,0.2915683,0.056,0.0846,0.091,0.0799,0.016594293,0.0044,0,0.0161,0.0157,0.000704923,-0.000576007
199501,470.42,13.17,31.25,0.290853734,0.0571,0.0846,0.0908,0.078,0.01509337,0.0042,0.004008016,0.0273,0.0256,0.000289377,-0.000779787
199502,487.39,13.17,31.9,0.278730036,0.0577,0.0826,0.0885,0.0758,0.014532095,0.004,0.003992016,0.0287,0.0289,0.000472414,-0.000715516
199503,500.71,13.17,32.55,0.313876542,0.0573,0.0812,0.087,0.0755,0.014388598,0.0046,0.003313453,0.0091,0.0095,0.000484306,-0.000566771
199504,514.71,13.2337,33.1767,0.301994701,0.0565,0.0803,0.086,0.0745,0.013012407,0.0044,0.00330251,0.0169,0.0175,0.00025692,-0.000626882
199505,533.4,13.2973,33.8033,0.292264254,0.0567,0.0765,0.082,0.0677,0.010743778,0.0054,0.001974984,0.079,0.0631,0.001011442,-0.000397684
199506,544.75,13.361,34.43,0.286429618,0.0547,0.073,0.079,0.067,0.008274919,0.0047,0.001971091,0.0139,0.0079,0.000696764,-0.000267726
199507,562.06,13.4323,34.68,0.277160367,0.0542,0.0741,0.0804,0.0691,0.00706112,0.0045,0,-0.0168,-0.0101,0.000773228,-0.000291092
199508,561.88,13.5037,34.93,0.283046135,0.054,0.0757,0.0819,0.0674,0.009121468,0.0047,0.002622951,0.0236,0.0214,0.00020673,-0.000137973
199509,584.41,13.575,35.18,0.272494998,0.0528,0.0732,0.0793,0.0663,0.006379353,0.0043,0.001962067,0.0175,0.0153,0.000381454,-0.000140216
199510,581.5,13.646,34.7733,0.274420245,0.0528,0.0712,0.0775,0.0641,0.012221252,0.0047,0.003263708,0.0294,0.0185,0.000487817,2.07943E-05
199511,605.37,13.717,34.3667,0.257168852,0.0536,0.0702,0.0768,0.0623,0.016870954,0.0042,-0.000650618,0.0249,0.0242,0.000546163,-7.79813E-05
199512,615.93,13.788,33.96,0.255026383,0.0514,0.0682,0.0749,0.0603,0.015526517,0.0049,-0.000651042,0.0272,0.0228,0.000820537,-0.000146604
199601,636.02,13.8933,33.9867,0.241877172,0.05,0.0681,0.0747,0.0609,0.016127863,0.0043,0.005863192,-0.0011,0.0014,0.001383955,-5.31418E-05
199602,640.43,13.9987,34.0133,0.237894737,0.0483,0.0699,0.0763,0.0659,0.016801369,0.0039,0.003238342,-0.0483,-0.0373,0.001267631,-0.000227855
199603,645.5,14.104,34.04,0.239299615,0.0496,0.0735,0.0803,0.0684,0.016891913,0.0039,0.005164622,-0.021,-0.013,0.001741716,3.05558E-05
199604,654.17,14.1603,34.33,0.240075806,0.0495,0.075,0.0819,0.0706,0.021121954,0.0046,0.003853565,-0.0165,-0.016,0.000981838,6.82249E-05
199605,669.12,14.2167,34.62,0.236923516,0.0502,0.0762,0.083,0.0717,0.026419155,0.0042,0.001919386,-0.0054,0.0005,0.001125291,-0.000254521
199606,670.63,14.273,34.91,0.236443725,0.0509,0.0771,0.084,0.0703,0.027216174,0.004,0.00063857,0.0203,0.0172,0.000394804,-0.00084789
199607,639.95,14.4033,35.2733,0.241819894,0.0515,0.0765,0.0835,0.0707,0.031136864,0.0045,0.001914486,0.0018,0.001,0.002355148,-0.000470475
